                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:10:51 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.657 A,  11.903 V,  16.854 W
 Thu Apr 24 06:11:01 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.652 A,  11.903 V,  16.812 W
 Thu Apr 24 06:11:11 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.652 A,  11.903 V,  16.783 W
 Thu Apr 24 06:11:21 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.652 A,  11.903 V,  16.943 W
 Thu Apr 24 06:11:31 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.652 A,  11.903 V,  16.706 W
 Thu Apr 24 06:11:41 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.662 A,  11.903 V,  16.961 W
 Thu Apr 24 06:11:51 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.657 A,  11.880 V,  16.750 W
 Thu Apr 24 06:12:01 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.662 A,  11.880 V,  16.946 W
 Thu Apr 24 06:12:11 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.650 A,  11.903 V,  16.676 W
 Thu Apr 24 06:12:21 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.903 V,   0.655 A,  11.903 V,  16.991 W
 Thu Apr 24 06:12:31 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.880 V,  16.797 W
 Thu Apr 24 06:12:41 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.657 A,  11.880 V,  16.946 W
 Thu Apr 24 06:12:51 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.657 A,  11.903 V,  16.872 W
 Thu Apr 24 06:13:01 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.652 A,  11.903 V,  16.902 W
 Thu Apr 24 06:13:11 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.655 A,  11.903 V,  16.765 W
 Thu Apr 24 06:13:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.657 A,  11.903 V,  16.854 W
 Thu Apr 24 06:13:31 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.657 A,  11.903 V,  16.812 W
 Thu Apr 24 06:13:41 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.655 A,  11.903 V,  16.765 W
 Thu Apr 24 06:13:51 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.880 V,  16.810 W
 Thu Apr 24 06:14:01 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:14:11 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:14:21 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:14:31 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.657 A,  11.903 V,  16.795 W
 Thu Apr 24 06:14:41 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.655 A,  11.903 V,  16.795 W
 Thu Apr 24 06:14:51 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.903 V,  16.825 W
 Thu Apr 24 06:15:01 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.655 A,  11.903 V,  16.783 W
 Thu Apr 24 06:15:11 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.880 V,   0.652 A,  11.880 V,  16.899 W
 Thu Apr 24 06:15:21 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.660 A,  11.880 V,  16.857 W
 Thu Apr 24 06:15:31 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.657 A,  11.880 V,  16.810 W
 Thu Apr 24 06:15:41 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.655 A,  11.880 V,  16.958 W
 Thu Apr 24 06:15:51 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.660 A,  11.903 V,  16.795 W
 Thu Apr 24 06:16:01 2014, 00:1e:c0:81:71:33,  28.7 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.903 V,   0.660 A,  11.903 V,  16.812 W
 Thu Apr 24 06:16:11 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.655 A,  11.880 V,  16.768 W
 Thu Apr 24 06:16:21 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.880 V,  16.810 W
 Thu Apr 24 06:16:31 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.880 V,   0.660 A,  11.880 V,  16.988 W
 Thu Apr 24 06:16:41 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.655 A,  11.880 V,  16.857 W
 Thu Apr 24 06:16:51 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.657 A,  11.880 V,  16.810 W
