                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:07:32 2014, 00:1e:c0:81:3a:fa,  30.6 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.903 V,  16.931 W
 Thu Apr 24 06:07:42 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.642 A,  11.903 V,  16.902 W
 Thu Apr 24 06:07:52 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.880 V,   0.640 A,  11.903 V,  16.943 W
 Thu Apr 24 06:08:02 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.880 V,  16.976 W
 Thu Apr 24 06:08:12 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.903 V,  16.931 W
 Thu Apr 24 06:08:22 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
 Thu Apr 24 06:08:32 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.640 A,  11.903 V,  16.902 W
 Thu Apr 24 06:08:42 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.903 V,  16.931 W
 Thu Apr 24 06:08:52 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.903 V,   0.640 A,  11.903 V,  17.021 W
 Thu Apr 24 06:09:02 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.640 A,  11.903 V,  16.902 W
 Thu Apr 24 06:09:12 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.642 A,  11.903 V,  16.943 W
 Thu Apr 24 06:09:22 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.880 V,   0.642 A,  11.903 V,  16.914 W
 Thu Apr 24 06:09:32 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.903 V,  16.961 W
 Thu Apr 24 06:09:42 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.880 V,  16.947 W
 Thu Apr 24 06:09:52 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.880 V,  16.857 W
 Thu Apr 24 06:10:02 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.640 A,  11.903 V,  16.795 W
 Thu Apr 24 06:10:12 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
 Thu Apr 24 06:10:22 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.880 V,   0.642 A,  11.903 V,  17.003 W
 Thu Apr 24 06:10:32 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.642 A,  11.903 V,  16.884 W
 Thu Apr 24 06:10:42 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.903 V,   0.640 A,  11.903 V,  17.051 W
 Thu Apr 24 06:10:52 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.880 V,   0.640 A,  11.880 V,  16.810 W
