                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Thu Apr 24 07:09:51 2014, 00:1e:c0:81:1d:ac,  39.8 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:10:01 2014, 00:1e:c0:81:1d:ac,  39.9 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.253 V,   1.249 V,   1.031 V,   1.024 V,  21.940 W
 Thu Apr 24 07:10:11 2014, 00:1e:c0:81:1d:ac,  39.5 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.033 V,   1.026 V,  21.959 W
 Thu Apr 24 07:10:21 2014, 00:1e:c0:81:1d:ac,  39.2 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:10:31 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.033 V,   1.026 V,  21.959 W
 Thu Apr 24 07:10:41 2014, 00:1e:c0:81:1d:ac,  38.9 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.903 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  22.020 W
 Thu Apr 24 07:10:51 2014, 00:1e:c0:81:1d:ac,  38.6 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.903 V,   1.251 V,   1.249 V,   1.031 V,   1.026 V,  21.983 W
 Thu Apr 24 07:11:01 2014, 00:1e:c0:81:1d:ac,  39.4 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:11:11 2014, 00:1e:c0:81:1d:ac,  39.4 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.248 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:11:21 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.250 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:11:31 2014, 00:1e:c0:81:1d:ac,  39.6 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:11:41 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.248 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:11:51 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.857 V,   1.252 V,   1.249 V,   1.032 V,   1.024 V,  21.916 W
 Thu Apr 24 07:12:01 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:12:11 2014, 00:1e:c0:81:1d:ac,  39.8 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.250 V,   1.033 V,   1.026 V,  21.959 W
 Thu Apr 24 07:12:21 2014, 00:1e:c0:81:1d:ac,  40.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.026 V,  21.959 W
 Thu Apr 24 07:12:31 2014, 00:1e:c0:81:1d:ac,  40.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:12:41 2014, 00:1e:c0:81:1d:ac,  39.6 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.033 V,   1.026 V,  21.977 W
 Thu Apr 24 07:12:51 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.025 V,  21.959 W
 Thu Apr 24 07:13:01 2014, 00:1e:c0:81:1d:ac,  39.8 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:13:11 2014, 00:1e:c0:81:1d:ac,  39.9 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:13:21 2014, 00:1e:c0:81:1d:ac,  39.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:13:31 2014, 00:1e:c0:81:1d:ac,  38.9 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.250 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:13:41 2014, 00:1e:c0:81:1d:ac,  38.8 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.025 V,  21.977 W
 Thu Apr 24 07:13:51 2014, 00:1e:c0:81:1d:ac,  39.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.248 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:14:01 2014, 00:1e:c0:81:1d:ac,  38.7 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.247 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:14:11 2014, 00:1e:c0:81:1d:ac,  38.3 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.024 V,  21.977 W
 Thu Apr 24 07:14:21 2014, 00:1e:c0:81:1d:ac,  39.5 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.025 V,  21.940 W
 Thu Apr 24 07:14:31 2014, 00:1e:c0:81:1d:ac,  39.6 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.033 V,   1.026 V,  21.977 W
 Thu Apr 24 07:14:41 2014, 00:1e:c0:81:1d:ac,  39.7 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:14:51 2014, 00:1e:c0:81:1d:ac,  39.2 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:15:01 2014, 00:1e:c0:81:1d:ac,  38.5 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.033 V,   1.026 V,  21.977 W
 Thu Apr 24 07:15:11 2014, 00:1e:c0:81:1d:ac,  38.9 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.030 V,   1.026 V,  21.959 W
 Thu Apr 24 07:15:21 2014, 00:1e:c0:81:1d:ac,  38.5 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.031 V,   1.026 V,  21.977 W
 Thu Apr 24 07:15:31 2014, 00:1e:c0:81:1d:ac,  38.6 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.250 V,   1.032 V,   1.025 V,  21.977 W
 Thu Apr 24 07:15:41 2014, 00:1e:c0:81:1d:ac,  38.5 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.857 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.935 W
 Thu Apr 24 07:15:51 2014, 00:1e:c0:81:1d:ac,  38.4 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.027 V,  21.977 W
 Thu Apr 24 07:16:01 2014, 00:1e:c0:81:1d:ac,  38.5 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:16:11 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.248 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:16:21 2014, 00:1e:c0:81:1d:ac,  38.1 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.248 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:16:31 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.023 V,  21.959 W
 Thu Apr 24 07:16:41 2014, 00:1e:c0:81:1d:ac,  38.9 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:16:51 2014, 00:1e:c0:81:1d:ac,  38.4 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:17:01 2014, 00:1e:c0:81:1d:ac,  38.5 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:17:11 2014, 00:1e:c0:81:1d:ac,  38.7 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.033 V,   1.025 V,  21.959 W
 Thu Apr 24 07:17:21 2014, 00:1e:c0:81:1d:ac,  38.7 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:17:31 2014, 00:1e:c0:81:1d:ac,  39.2 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.026 V,  21.959 W
 Thu Apr 24 07:17:41 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:17:51 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:18:01 2014, 00:1e:c0:81:1d:ac,  38.8 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.903 V,   1.252 V,   1.250 V,   1.032 V,   1.027 V,  22.001 W
 Thu Apr 24 07:18:11 2014, 00:1e:c0:81:1d:ac,  39.5 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:18:21 2014, 00:1e:c0:81:1d:ac,  39.2 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.248 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:18:31 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.024 V,  21.940 W
 Thu Apr 24 07:18:41 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:18:51 2014, 00:1e:c0:81:1d:ac,  39.7 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.940 W
 Thu Apr 24 07:19:01 2014, 00:1e:c0:81:1d:ac,  38.9 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:19:11 2014, 00:1e:c0:81:1d:ac,  39.6 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.251 V,   1.249 V,   1.033 V,   1.026 V,  21.940 W
 Thu Apr 24 07:19:21 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.026 V,  21.977 W
 Thu Apr 24 07:19:31 2014, 00:1e:c0:81:1d:ac,  39.3 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.940 W
 Thu Apr 24 07:19:41 2014, 00:1e:c0:81:1d:ac,  38.8 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.250 V,   1.032 V,   1.027 V,  21.959 W
 Thu Apr 24 07:19:51 2014, 00:1e:c0:81:1d:ac,  38.4 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.248 V,   1.033 V,   1.026 V,  21.959 W
 Thu Apr 24 07:20:01 2014, 00:1e:c0:81:1d:ac,  38.2 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.248 V,   1.032 V,   1.025 V,  21.959 W
 Thu Apr 24 07:20:11 2014, 00:1e:c0:81:1d:ac,  38.4 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.903 V,   1.252 V,   1.249 V,   1.032 V,   1.025 V,  22.020 W
 Thu Apr 24 07:20:21 2014, 00:1e:c0:81:1d:ac,  38.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.249 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:20:31 2014, 00:1e:c0:81:1d:ac,  38.0 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:20:41 2014, 00:1e:c0:81:1d:ac,  38.3 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.250 V,   1.249 V,   1.033 V,   1.025 V,  21.959 W
 Thu Apr 24 07:20:51 2014, 00:1e:c0:81:1d:ac,  39.1 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.251 V,   1.249 V,   1.031 V,   1.026 V,  21.940 W
