                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 13:37:19 2014, 00:1e:c0:81:1d:ac,  46.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:37:29 2014, 00:1e:c0:81:1d:ac,  46.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:37:39 2014, 00:1e:c0:81:1d:ac,  47.1 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.441 W
 Wed Apr 23 13:37:49 2014, 00:1e:c0:81:1d:ac,  47.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:37:59 2014, 00:1e:c0:81:1d:ac,  47.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:38:09 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:38:19 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:38:29 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:38:39 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:38:49 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:38:59 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:39:09 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:39:19 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:39:29 2014, 00:1e:c0:81:1d:ac,  46.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
