                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:44:40 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:00 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:45:10 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:20 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.949 V,   0.637 A,  11.949 V,  16.997 W
 Wed Apr 23 13:45:30 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:40 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:46:00 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:46:10 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:46:20 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.972 V,   0.637 A,  11.949 V,  17.075 W
 Wed Apr 23 13:46:30 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.637 A,  11.949 V,  17.009 W
 Wed Apr 23 13:46:40 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.926 V,   0.640 A,  11.972 V,  17.113 W
 Wed Apr 23 13:46:50 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.637 A,  11.949 V,  17.009 W
 Wed Apr 23 13:47:00 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:10 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:47:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.972 V,   0.637 A,  11.949 V,  17.045 W
 Wed Apr 23 13:47:30 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
 Wed Apr 23 13:47:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:48:00 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:48:10 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.972 V,  17.071 W
 Wed Apr 23 13:48:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.926 V,   0.637 A,  11.949 V,  17.068 W
