                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:36:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:37:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:37:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:37:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:37:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:37:40 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:37:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:38:00 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:38:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:38:20 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:38:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:38:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:38:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:39:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:39:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:39:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:39:30 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:39:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:39:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.926 V,  16.982 W
 Wed Apr 23 13:40:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:40:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:40:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.949 V,   0.662 A,  11.949 V,  17.057 W
 Wed Apr 23 13:40:30 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:40:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:40:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:41:00 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:41:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.972 V,  17.025 W
